type,name,slug,url_path,city,state,category_or_tags,official_site,gsc_clicks,gsc_impressions,gsc_ctr,gsc_avg_position,visibility_status,primary_serp_query,expected_competitors_above_ecke,likely_why_competitors_rank_higher
event,Indy Rope Expo 2026,indy-rope-expo,/events/indy-rope-expo,Indianapolis,IN,Indoor Event,https://www.indyropeexpo.com/,4,250,1.6%,6.36,Seen in GSC export,Indy Rope Expo 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,CLAW 26,claw,/events/claw,Columbus,OH,Indoor Event,https://clawinfo.org/,29,1142,2.54%,7.18,Seen in GSC export,CLAW 26 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,International Ms. Leather & International Ms. Bootblack (IMsLBB) 2026,imslbb,/events/imslbb,Piscataway,NJ,Contest Weekend,https://www.imslbb.com/,26,954,2.73%,7.57,Seen in GSC export,International Ms. Leather & International Ms. Bootblack (IMsLBB) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Hugs & Kisses 2026,hugs-and-kisses,/events/hugs-and-kisses,Whitehall,PA,Weekend Event,https://keystoneleathercontest.com/events,0,0,,,No matching GSC page row in export,Hugs & Kisses 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Ropecraft Chicago 2026,ropecraft-chicago,/events/ropecraft-chicago,Chicago,IL,Conference,https://ropecraft.net/,3,92,3.26%,6.07,Seen in GSC export,Ropecraft Chicago 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Kink Odyssey - Spring 2026,kink-odyssey-spring,/events/kink-odyssey-spring,Greenwich,NY,Retreat,https://www.eastonmountain.org/events/kink-26-spring,1,111,0.9%,5.43,Seen in GSC export,Kink Odyssey - Spring 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Fetish Con XXIV,fetish-con,/events/fetish-con,St. Petersburg,FL,Convention,https://fetishcon.com/,6,542,1.11%,8.6,Seen in GSC export,Fetish Con XXIV 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,DomCon New Orleans 2026,domcon-new-orleans,/events/domcon-new-orleans,New Orleans,LA,Conference,https://www.domcon.com/,0,128,0%,7.02,Seen in GSC export,DomCon New Orleans 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Women of Drummer 2026,women-of-drummer,/events/women-of-drummer,Darlington,MD,Conference,https://www.womenofdrummer.com/,0,16,0%,13.44,Seen in GSC export,Women of Drummer 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,MAUL 20th Anniversary Weekend,maul-20th-anniversary-weekend,/events/maul-20th-anniversary-weekend,Providence,RI,Weekend Event,https://www.uniformleague.org/maul20,0,34,0%,6.71,Seen in GSC export,MAUL 20th Anniversary Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Rehoboth Beach Leather Weekend 2026 (TBA),rehoboth-beach-leather-weekend,/events/rehoboth-beach-leather-weekend,Rehoboth Beach,DE,Weekend Event,https://rehobothbeachleather.com/,0,0,,,No matching GSC page row in export,Rehoboth Beach Leather Weekend 2026 (TBA),"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,NEPAH 2027 (Northeast Pet & Handler Weekend),nepah,/events/nepah,Philadelphia,PA,Weekend Event,https://www.nepah.org/,0,39,0%,9.74,Seen in GSC export,NEPAH 2027 (Northeast Pet & Handler Weekend) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Fire Island Leather Weekend 2026,fire-island-leather-weekend,/events/fire-island-leather-weekend,Cherry Grove,NY,Weekend Event,https://www.excelsiormc.com/fire-island-leather-weekend,0,37,0%,7.73,Seen in GSC export,Fire Island Leather Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Mid-Atlantic Leather Weekend 2026,mid-atlantic-leather-weekend,/events/mid-atlantic-leather-weekend,Washington,DC,Indoor Event,https://www.leatherweekend.org/,2,220,0.91%,10.05,Seen in GSC export,Mid-Atlantic Leather Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Elevation Rope 2026,elevation-rope,/events/elevation-rope,Horse Shoe,NC,Conference,https://www.elevationrope.com/,46,218,21.1%,5.77,Seen in GSC export,Elevation Rope 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Kink Down South Weekend 2026,kink-down-south-weekend,/events/kink-down-south-weekend,Atlanta,GA,Outdoor Event,https://kinkdownsouth.com/weekend/,0,0,,,No matching GSC page row in export,Kink Down South Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,The Summer Michigan Rope Conference SMIRC,summer-michigan-rope-conference-smirc,/events/summer-michigan-rope-conference-smirc,Troy,MI,Indoor Event,https://www.smirc.net/,0,0,,,No matching GSC page row in export,The Summer Michigan Rope Conference SMIRC 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Dark Odyssey Summer Camp,dark-odyssey-summer-camp,/events/dark-odyssey-summer-camp,Northern Maryland,MD,Outdoor Event,https://darkodyssey.com/summerfest/,0,0,,,No matching GSC page row in export,Dark Odyssey Summer Camp 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,The Master/slave Conference MsC 2026,master-slave-conference-msc,/events/master-slave-conference-msc,Washington DC,DC,Indoor Event,https://masterslaveconference.org/,0,0,,,No matching GSC page row in export,The Master/slave Conference MsC 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,CrucibleCon,cruciblecon,/events/cruciblecon,Northern New Jersey,NJ,Indoor Event,https://www.cruciblecon.com/,0,0,,,No matching GSC page row in export,CrucibleCon 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,FORNUCOPIA,fornucopia,/events/fornucopia,Darlington,MD,Outdoor Event,https://www.fornucopiaevent.com/,25,492,5.08%,3.71,Seen in GSC export,FORNUCOPIA 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Kinky Kollege: Spring Break 2026,kinky-kollege-spring-break-2026,/events/kinky-kollege-spring-break-2026,Chicago,IL,Indoor Event,https://kinkykollege.com/,0,0,,,No matching GSC page row in export,Kinky Kollege: Spring Break 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Kinky Kollege: Homecoming 2026,kinky-kollege,/events/kinky-kollege,Chicago,IL,Indoor Event,https://kinkykollege.com/,0,0,,,No matching GSC page row in export,Kinky Kollege: Homecoming 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Ohio SMART Fetish Flea,ohio-smart-fetish-flea,/events/ohio-smart-fetish-flea,Cleveland,OH,Indoor Event,https://ohiosmart.org/Fetish-Flea-2026,0,0,,,No matching GSC page row in export,Ohio SMART Fetish Flea 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Exploration Into Kink (EiK) 2026,exploration-into-kink,/events/exploration-into-kink,St Louis Metro Area,MO,Indoor Event,https://www.explorationintokink.com/,0,0,,,No matching GSC page row in export,Exploration Into Kink (EiK) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Coastal Carolina Fetish Fair 2026,coastal-carolina-fetish-fair,/events/coastal-carolina-fetish-fair,Myrtle Beach,SC,Indoor Event,https://coastalcarolinafetishfair.com/,79,668,11.83%,6.37,Seen in GSC export,Coastal Carolina Fetish Fair 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Naughty Noel 2026,naughty-noel,/events/naughty-noel,Gettysburg,PA,Indoor Event,https://studio58events.com/studio-58-event-schedule/,9,228,3.95%,8.83,Seen in GSC export,Naughty Noel 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Dungeons & Geekdoms,dungeons-geekdoms,/events/dungeons-geekdoms,Fairfield,NJ,Indoor Event,https://tempestgatherings.com/,0,0,,,No matching GSC page row in export,Dungeons & Geekdoms 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Naughty Gras,naughty-gras,/events/naughty-gras,Gettysburg,PA,Indoor Event,https://studio58events.com/naughty-gras-2025/,46,1309,3.51%,6.59,Seen in GSC export,Naughty Gras 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Naughty N'at,naughty-nat,/events/naughty-nat,Pittsburgh,PA,Indoor Event,https://studio58events.com/what-is-naughty-nat/,9,242,3.72%,5.51,Seen in GSC export,Naughty N'at 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,CURE 2026,cure,/events/cure,Columbus,OH,Indoor Event,https://kicevents.com/cure,5,170,2.94%,5.48,Seen in GSC export,CURE 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Dark Odyssey Winter Fire,dark-odyssey-winter-fire,/events/dark-odyssey-winter-fire,Baltimore,MD,Indoor Event,https://darkodyssey.com/winterfire/,0,0,,,No matching GSC page row in export,Dark Odyssey Winter Fire 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Twisted Tryst,twisted-tryst,/events/twisted-tryst,Athens,OH,Outdoor Event,https://www.twistedtryst.com/,0,0,,,No matching GSC page row in export,Twisted Tryst 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Camp Crucible,camp-crucible,/events/camp-crucible,Darlington,MD,Outdoor Event,https://www.campcrucible.com/,0,0,,,No matching GSC page row in export,Camp Crucible 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Frolicon,frolicon,/events/frolicon,Atlanta,GA,Indoor Event,https://frolicon.com/,98,5009,1.96%,6.85,Seen in GSC export,Frolicon 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
